"","matchId","type","duration","nGroups","maxPlace","nPlayers","nWinners"
"1","0000a43bce5eec","squad-fpp",1346,28,28,95,2
"2","0000eb01ea6cdd","squad-fpp",1363,27,28,98,4
"3","0002912fe5ed71","solo",1949,92,95,95,1
"4","0003b92987589e","duo",1410,47,50,100,2
"5","0006eb8c17708d","duo-fpp",1382,44,47,93,2
"6","00077604e50a63","squad-fpp",1452,29,30,98,3
"7","00086c74bb4efc","duo-fpp",1465,48,49,98,2
"8","00086e740a5804","solo-fpp",1962,95,98,98,1
"9","001125344b660c","duo",1421,47,50,96,2
"10","001360264d4b5f","duo-fpp",1332,44,47,91,2
"11","0014d9d1b0aff6","duo-fpp",1849,47,48,94,2
"12","001616ed5da99b","solo-fpp",1876,94,97,97,1
"13","0016fe3ee17ce7","duo",1910,47,49,97,2
"14","00177a6ce4dfb5","duo-fpp",1831,47,47,92,2
"15","00188d50e054f5","squad",2036,26,30,92,1
"16","001937f739426c","solo-fpp",1981,92,95,95,1
"17","0019bc34b3c58e","duo-fpp",1832,47,49,97,2
"18","0019d729577e9c","duo",1342,47,49,94,2
"19","001cd8e7e6b737","normal-solo-fpp",1093,17,23,24,1
"20","001e5e4799a31c","squad-fpp",1322,29,30,92,4
"21","001e7bc06b1611","normal-squad-fpp",1768,15,15,59,4
"22","001eeedf57047a","solo-fpp",1381,97,99,99,1
"23","00200fe5d9aae5","squad-fpp",1381,28,29,99,4
"24","0022adebf59be6","solo-fpp",1381,94,96,96,1
"25","0022e660571ee8","squad-fpp",1843,30,30,97,4
"26","00232f9d9c5421","squad",1767,29,29,96,3
"27","0025477f88bbd9","squad-fpp",1708,28,29,94,4
"28","002771bd25fe0e","squad-fpp",1443,25,26,92,3
"29","0027a504cd3b0c","duo-fpp",1419,50,50,99,2
"30","0027b1ffb2e346","solo",1808,2,17,17,3
"31","002aeef57764f8","duo-fpp",1869,49,50,99,2
"32","002af9fec8e1e8","solo-fpp",1419,91,94,94,1
"33","002b3b8e0e3870","duo-fpp",1389,46,48,95,2
"34","003228f5dc4934","duo-fpp",1402,47,49,97,2
"35","0032986e32b6ce","squad",1884,24,26,93,3
"36","00335f974fb508","squad-fpp",1321,27,27,99,4
"37","0039ac593fdb48","squad",1419,27,27,98,4
"38","003a7ce862fa03","squad-fpp",1386,31,31,94,3
"39","003b6b0d02a30f","squad-fpp",1345,28,28,92,3
"40","003c2b333747d9","normal-squad-fpp",992,3,3,9,3
"41","003dde2a3cfe21","squad-fpp",1327,27,28,95,4
"42","0043d1bf58fcab","squad-fpp",1380,26,28,97,2
"43","0043d584520de4","duo-fpp",1859,48,49,97,2
"44","00443dc542d36f","squad",2194,27,27,96,4
"45","004491afc66da5","squad-fpp",1398,27,28,98,4
"46","0044d2e8f90a9c","solo",1448,95,96,96,1
"47","004760d4b1aa7e","squad-fpp",1832,25,27,93,4
"48","00489048e21690","duo-fpp",1751,45,47,93,2
"49","004cddec9da619","duo",1856,46,48,93,2
"50","004d5cbd41b845","squad-fpp",1891,26,28,93,4
"51","004d71d7e987ef","squad-fpp",1358,29,29,97,4
"52","004fb5a1da0f97","solo",1968,89,95,95,1
"53","005166f6ee4ab6","duo-fpp",1431,47,50,97,2
"54","0052116de68e46","duo-fpp",1384,50,50,99,2
"55","0052ab0d129257","squad-fpp",1287,26,27,98,4
"56","0055b5c097ed61","solo-fpp",1316,96,98,98,1
"57","005712df62d721","duo-fpp",1375,47,49,96,2
"58","005908fb69efc4","duo-fpp",1784,47,47,93,2
"59","0059939eb6ba30","squad",1783,27,27,93,4
"60","005aca992c9a78","squad",1380,23,25,85,4
"61","005c6a0d0e7d6c","squad",1923,25,27,91,4
"62","005e236012c55f","duo-fpp",1312,45,49,97,2
"63","005e3f527c4a6a","duo",1497,48,50,97,2
"64","0061b990c72c79","squad-fpp",1295,31,31,98,3
"65","0063217a97a803","duo",1932,47,47,93,2
"66","00656cf8a4dbe6","duo",1379,46,49,98,2
"67","006755987f2217","duo",1505,45,47,93,2
"68","006bfeab00aedb","solo-fpp",1405,90,92,92,1
"69","006d25449eb444","duo-fpp",1437,45,48,96,2
"70","006f34f9f3940c","squad",1813,26,27,93,4
"71","0070e0d3a110ab","squad-fpp",1362,26,28,97,4
"72","007124bcf16c97","duo-fpp",1850,45,47,92,2
"73","00723ce92fd048","squad",1764,26,27,93,4
"74","00733ad159aa16","squad",1840,27,28,95,3
"75","007510af0aaa9e","duo-fpp",1774,47,48,92,2
"76","007574bcec3608","squad-fpp",1356,27,29,92,1
"77","00775fa92f3622","solo",1874,96,97,97,1
"78","007919ca512b4b","squad-fpp",1814,26,29,97,4
"79","0079cc1207eba9","squad-fpp",1357,25,25,92,3
"80","007b41f0dbfe07","squad-fpp",1771,26,27,93,4
"81","007cf333696926","squad-fpp",1358,28,28,98,3
"82","007e905294c254","solo-fpp",1482,94,96,96,1
"83","007edf38197cec","duo-fpp",1379,41,42,84,2
"84","00817c4617e086","solo-fpp",1781,93,99,99,1
"85","0081b70bec90ee","squad-fpp",1457,29,29,98,4
"86","0083aec3e2b9d9","squad",1965,27,27,95,3
"87","00869975e9aae1","squad",1194,27,28,94,3
"88","00878990470551","solo-fpp",1244,92,95,95,1
"89","0087d93e5e9c20","squad-fpp",1889,24,28,94,3
"90","0087f861b21388","solo-fpp",1402,95,97,97,1
"91","008b455a294533","duo-fpp",1363,48,48,96,2
"92","008be222ba83bf","squad-fpp",1952,27,27,90,4
"93","008c4580f1efe3","solo",2199,95,99,99,1
"94","0092b13293cba1","solo-fpp",1423,94,97,97,1
"95","00930789f7075f","duo-fpp",1813,20,21,41,2
"96","009505123eaceb","duo-fpp",1797,40,44,86,2
"97","00970bbf4f2bd2","duo-fpp",1879,49,50,100,2
"98","00991cdad6d1cb","squad-fpp",1324,28,29,99,3
